ZIPCODE,ZIPCITY
20190,RESTON
22101,MCLEAN
20124,CLIFTON
22308,ALEXANDRIA
20170,HERNDON
22183,VIENNA
22079,LORTON
22153,SPRINGFIELD
22041,FALLS CHURCH
20171,HERNDON
22312,ALEXANDRIA
22042,FALLS CHURCH
22150,SPRINGFIELD
22199,LORTON
22306,ALEXANDRIA
20172,HERNDON
22205,ARLINGTON
22181,VIENNA
20120,CENTREVILLE
22307,ALEXANDRIA
20153,CHANTILLY
22003,ANNANDALE
22037,FAIRFAX
20196,RESTON
22124,OAKTON
22161,SPRINGFIELD
22044,FALLS CHURCH
22027,DUNN LORING
22304,ALEXANDRIA
20191,RESTON
22309,ALEXANDRIA
20194,RESTON
22015,BURKE
22311,ALEXANDRIA
22033,FAIRFAX
20121,CENTREVILLE
22180,VIENNA
20166,STERLING
20192,HERNDON
22185,VIENNA
22121,MOUNT VERNON
22043,FALLS CHURCH
22032,FAIRFAX
20195,RESTON
22315,ALEXANDRIA
22203,ARLINGTON
22310,ALEXANDRIA
22046,FALLS CHURCH
22102,MCLEAN
22213,ARLINGTON
22035,FAIRFAX
22152,SPRINGFIELD
22182,VIENNA
22302,ALEXANDRIA
22039,FAIRFAX STATION
22207,ARLINGTON
22151,SPRINGFIELD
22060,FORT BELVOIR
22160,SPRINGFIELD
22158,SPRINGFIELD
22159,SPRINGFIELD
22019,MERRIFIELD
22018,MERRIFIELD
22081,MERRIFIELD
22082,MERRIFIELD
22116,MERRIFIELD
20152,CHANTILLY
22038,FAIRFAX
22206,ARLINGTON
22030,FAIRFAX
22303,ALEXANDRIA
22204,ARLINGTON
20164,STERLING
22031,FAIRFAX
22066,GREAT FALLS
22009,BURKE
22106,MCLEAN
20122,CENTREVILLE
20151,CHANTILLY
