,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
672,1.0,BURG-220-3,BURGLARY/BREAKING AND ENTERING,2024-09-12,1401.0,5900 WILLIAMSBURG RD,ALEXANDRIA,VA,22303.0,BURG,BURGLARY/BREAKING AND ENTERING,,5900.0,WILLIAMSBURG RD
1469,1.0,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2024-09-09,2324.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,TELEPHONE THREATS/ABUSE/OBSCENE,2800.0,FAIRHAVEN AVE
4266,1.0,PARK-90Z-2,PARKING - OTHER PARKING VIOLATION,2024-08-28,1040.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,PARK,PARKING,OTHER PARKING VIOLATION,2800.0,FAIRHAVEN AVE
4333,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2024-08-27,2150.0,5900 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",5900.0,NORTH KINGS HWY
7762,1.0,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-08-13,1305.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,DRUNK,DRUNK,DRUNK/PROFANE IN PUBLIC,2900.0,FARMINGTON DR
7764,2.0,OTHER-90Z-3,OTHER OFFENSE - AGAINST SOCIETY,2024-08-13,1305.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,OTHER,OTHER OFFENSE,AGAINST SOCIETY,2900.0,FARMINGTON DR
9281,1.0,ANML-4,ANIMAL - SERVICE - WILD,2024-08-07,815.0,2600 JEFFERSON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,SERVICE - WILD,2600.0,JEFFERSON DR
9505,1.0,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2024-08-06,1613.0,5900 EDGEHILL DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,ANIMAL BITE - DOMESTIC,5900.0,EDGEHILL DR
9972,1.0,AUTO-240-4,AUTO THEFT - AUTOS,2024-08-04,1330.0,6000 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,AUTO,AUTO THEFT,AUTOS,6000.0,NORTH KINGS HWY
10582,5.0,ABC-90G-7,ABC - ILLEGAL POSSESSION ALCOHOL/MINOR,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ABC,ABC,ILLEGAL POSSESSION ALCOHOL/MINOR,2800.0,FAIRHAVEN AVE
10584,4.0,FAM-90F-2,FAMILY - CONTRIBUTE TO DELINQUENCY OF MINOR,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,FAM,FAMILY,CONTRIBUTE TO DELINQUENCY OF MINOR,2800.0,FAIRHAVEN AVE
10585,3.0,WEAP-520-7,WEAPONS - POSSESSION OF FIREARM WITH NARCOTICS,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,WEAP,WEAPONS,POSSESSION OF FIREARM WITH NARCOTICS,2800.0,FAIRHAVEN AVE
10586,6.0,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,PUB,PUBLIC SAFETY,OBSTRUCTION OF JUSTICE,2800.0,FAIRHAVEN AVE
10589,2.0,DRUG-35B-4,DRUGS - RELATED - OTHER,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,DRUG,DRUGS,RELATED - OTHER,2800.0,FAIRHAVEN AVE
10591,1.0,DRUG-35A-12,DRUGS - OTHER DANGEROUS DRUGS SALE/ MANUFACTURING,2024-08-01,2311.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,DRUG,DRUGS,OTHER DANGEROUS DRUGS SALE/ MANUFACTURING,2800.0,FAIRHAVEN AVE
11904,1.0,DRUG-35A-13,DRUGS - OTHER,2024-07-27,1333.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,DRUG,DRUGS,OTHER,2800.0,FARMINGTON DR
11983,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-07-27,730.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FARMINGTON DR
12809,1.0,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2024-07-23,751.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,WARR,WARRANT,VIOLATE EPO/PO/PPO,2800.0,FARMINGTON DR
14826,1.0,ROB-120-7,ROBBERY - PERSON,2024-07-15,300.0, FARMINGTON DR / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ROB,ROBBERY,PERSON,, FARMINGTON DR / NORTH KINGS HWY
14956,1.0,ANML-3,ANIMAL - SERVICE - DOMESTIC,2024-07-15,1614.0,5900 MONTICELLO RD,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,SERVICE - DOMESTIC,5900.0,MONTICELLO RD
15571,1.0,SEX-90Z-2,SEX - OTHER NON-FORCIBLE SEX VIOLATION,2024-07-12,2001.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SEX,SEX,OTHER NON-FORCIBLE SEX VIOLATION,2800.0,FAIRHAVEN AVE
18162,1.0,PARK-90Z-1,PARKING - INOPERATIVE/ABANDONED VEHICLE,2024-07-02,1059.0,2800 JEFFERSON DR,ALEXANDRIA,VA,22303.0,PARK,PARKING,INOPERATIVE/ABANDONED VEHICLE,2800.0,JEFFERSON DR
